Fecha y hora,CO (ppm),NO (ppb),NO2 (ppb),NOX (ppb),O3 (ppb),PM10 (ug/m3),PM2.5 (ug/m3),PRS (mmHg),RAINF (mm/h),RH (%),SO2 (ppb),SR (kW/m2),TOUT (ºC),WSR (km/h),WDR (azimutal)
2024-01-01 00:00:00,2.08,10.5,23.3,33.8,13.0,81.0,60.0,724.5,0.0,58.0,2.9,0.0,14.26,5.8,290.0
2024-01-01 01:00:00,2.07,10.5,23.4,33.9,13.0,81.0,60.52,724.5,0.0,58.0,2.9,0.0,14.28,5.9,289.0
2024-01-01 02:00:00,2.36,16.9,30.0,46.9,7.0,84.0,,724.6,0.0,61.0,3.2,0.0,13.5,3.7,291.0
2024-01-01 03:00:00,2.11,13.6,26.6,40.1,7.0,132.0,64.69,724.7,0.0,62.0,3.2,0.0,13.18,7.1,291.0
2024-01-01 04:00:00,1.94,8.5,20.6,29.2,13.0,93.0,44.13,724.7,0.0,53.0,3.2,0.0,14.62,8.4,297.0
2024-01-01 05:00:00,1.79,7.4,16.3,23.6,15.0,62.0,28.9,724.7,0.0,55.0,2.9,0.0,13.96,7.6,292.0
2024-01-01 06:00:00,1.59,7.4,14.2,21.5,21.0,42.0,16.64,724.7,0.0,42.0,3.2,0.0,16.39,9.7,283.0
2024-01-01 07:00:00,1.53,7.0,12.3,19.2,22.0,26.0,12.57,725.4,0.0,43.0,2.9,0.0,15.95,9.6,291.0
2024-01-01 08:00:00,1.65,8.4,19.8,28.2,18.0,29.0,17.81,726.2,0.0,48.0,3.7,0.007,15.68,5.8,223.0
2024-01-01 09:00:00,1.54,6.1,10.1,16.1,37.0,40.0,15.41,727.2,0.0,43.0,6.2,0.055,18.19,5.2,164.0
2024-01-01 10:00:00,1.49,5.9,8.0,13.9,42.0,28.0,12.28,727.6,0.0,35.0,6.4,0.132,19.75,6.3,163.0
2024-01-01 11:00:00,1.51,5.8,9.1,14.8,45.0,28.0,12.15,728.3,0.0,33.0,6.3,0.2,20.59,6.1,195.0
2024-01-01 12:00:00,1.49,5.7,9.4,15.0,45.0,30.0,10.97,728.3,0.0,36.0,6.4,0.237,21.01,5.3,300.0
2024-01-01 13:00:00,1.49,5.6,9.4,15.0,48.0,25.0,8.26,727.6,0.0,37.0,5.9,0.306,22.28,5.8,287.0
2024-01-01 14:00:00,1.46,4.6,6.8,11.4,47.0,25.0,8.81,727.0,0.0,41.0,4.8,0.254,22.38,5.6,46.0
2024-01-01 15:00:00,1.47,4.5,7.5,12.0,47.0,22.0,9.29,726.3,0.0,42.0,4.6,0.272,22.94,7.9,60.0
2024-01-01 16:00:00,1.49,4.0,8.3,12.3,45.0,19.0,9.44,726.2,0.0,45.0,4.5,0.164,22.62,8.4,51.0
