date,CO,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona
2024-07-01 00:00:00,,,,,,,,,,CENTRO
2024-07-01 00:00:00,0.31,2.0,9.7,8.0,11.7,19.0,2.1,4.2,148.0,NORTE
2024-07-01 00:00:00,,,,,,,,,,SURESTE
2024-07-01 01:00:00,0.41,1.8,5.8,6.52,7.9,27.0,2.3,7.5,35.0,CENTRO
2024-07-01 01:00:00,0.27,1.8,8.8,8.0,10.7,24.0,2.2,4.8,110.0,NORTE
2024-07-01 01:00:00,0.67,2.1,2.8,4.1,4.9,11.0,1.7,14.7,101.0,SURESTE
2024-07-01 02:00:00,0.42,2.5,6.3,,9.0,26.0,2.4,5.8,32.0,CENTRO
2024-07-01 02:00:00,0.23,2.1,6.5,7.0,8.6,35.0,2.2,3.6,98.0,NORTE
2024-07-01 02:00:00,0.66,2.1,2.1,4.1,4.1,9.0,1.6,12.2,83.0,SURESTE
2024-07-01 03:00:00,0.37,3.8,8.0,,12.1,31.0,2.4,6.0,16.0,CENTRO
2024-07-01 03:00:00,0.21,2.8,10.5,9.0,13.3,30.0,2.2,4.8,48.0,NORTE
2024-07-01 03:00:00,0.65,,2.5,3.58,4.5,7.0,1.8,6.2,100.0,SURESTE
2024-07-01 04:00:00,0.42,4.5,12.8,,17.5,33.0,2.4,5.2,354.0,CENTRO
2024-07-01 04:00:00,0.21,2.4,9.9,7.0,12.3,32.0,2.2,4.8,62.0,NORTE
2024-07-01 04:00:00,0.64,,2.3,3.56,4.4,13.0,1.6,5.4,142.0,SURESTE
2024-07-01 05:00:00,0.38,2.6,11.5,,14.4,38.0,2.4,6.1,5.0,CENTRO
2024-07-01 05:00:00,0.31,4.4,11.3,9.0,15.7,25.0,2.2,1.8,92.0,NORTE
2024-07-01 05:00:00,0.66,2.3,3.6,3.77,5.8,11.0,1.7,4.8,59.0,SURESTE
2024-07-01 06:00:00,0.43,2.8,10.1,,13.1,40.0,2.4,6.0,48.0,CENTRO
2024-07-01 06:00:00,0.33,8.4,10.9,12.0,19.2,30.0,2.3,1.3,68.0,NORTE
2024-07-01 06:00:00,0.67,2.4,7.0,3.78,9.4,15.0,1.6,7.2,75.0,SURESTE
2024-07-01 07:00:00,0.43,5.3,12.2,,17.8,34.0,2.4,5.7,58.0,CENTRO
2024-07-01 07:00:00,0.38,9.0,10.4,11.0,19.4,35.0,2.8,3.8,109.0,NORTE
2024-07-01 07:00:00,0.74,3.5,8.9,4.27,12.4,18.0,1.6,3.6,113.0,SURESTE
2024-07-01 08:00:00,0.59,15.7,13.4,,29.4,34.0,2.4,6.4,52.0,CENTRO
2024-07-01 08:00:00,0.38,8.4,10.7,8.0,19.1,30.0,2.8,7.1,105.0,NORTE
2024-07-01 08:00:00,0.81,6.0,9.4,4.27,15.3,11.0,1.6,3.3,71.0,SURESTE
2024-07-01 09:00:00,0.57,23.9,16.0,,40.2,48.0,2.5,7.1,42.0,CENTRO
2024-07-01 09:00:00,0.32,6.1,8.2,8.0,14.3,31.0,2.5,8.4,122.0,NORTE
2024-07-01 09:00:00,0.93,10.9,12.2,4.55,22.9,18.0,1.8,5.5,76.0,SURESTE
2024-07-01 10:00:00,0.64,11.6,15.0,,26.9,54.0,2.4,9.6,49.0,CENTRO
2024-07-01 10:00:00,0.33,3.5,5.5,15.0,9.0,33.0,2.6,9.8,143.0,NORTE
2024-07-01 10:00:00,0.85,6.9,10.2,4.55,17.0,35.0,2.0,16.0,61.0,SURESTE
2024-07-01 11:00:00,0.59,7.3,13.6,,21.1,46.0,2.3,12.6,53.0,CENTRO
2024-07-01 11:00:00,0.32,3.3,5.6,18.0,8.8,50.0,3.1,12.0,125.0,NORTE
2024-07-01 11:00:00,0.88,5.8,9.0,4.77,14.7,28.0,2.1,17.1,79.0,SURESTE
2024-07-01 12:00:00,0.55,6.2,10.2,,16.6,52.0,2.4,13.5,54.0,CENTRO
2024-07-01 12:00:00,0.26,3.3,4.3,12.0,7.6,60.0,2.8,12.2,135.0,NORTE
2024-07-01 12:00:00,0.88,5.1,5.7,4.77,10.7,33.0,1.9,14.8,104.0,SURESTE
2024-07-01 13:00:00,0.45,5.0,6.5,,11.7,50.0,2.4,15.6,63.0,CENTRO
2024-07-01 13:00:00,0.29,3.6,4.4,12.0,8.0,52.0,2.6,13.9,123.0,NORTE
2024-07-01 13:00:00,0.79,4.0,4.3,4.96,8.3,46.0,1.8,16.4,112.0,SURESTE
2024-07-01 14:00:00,0.44,4.5,5.7,,10.5,55.0,2.3,15.3,71.0,CENTRO
2024-07-01 14:00:00,0.3,4.4,5.2,8.0,9.6,46.0,2.5,8.6,111.0,NORTE
2024-07-01 14:00:00,0.8,4.5,4.7,4.96,9.3,48.0,1.8,13.7,123.0,SURESTE
2024-07-01 15:00:00,0.48,4.5,7.0,,11.8,52.0,2.4,18.1,60.0,CENTRO
2024-07-01 15:00:00,0.38,5.8,8.3,11.0,14.2,31.0,2.4,7.8,110.0,NORTE
2024-07-01 15:00:00,0.9,5.1,7.4,4.79,12.5,50.0,2.0,15.6,102.0,SURESTE
2024-07-01 16:00:00,0.5,6.2,8.6,,15.1,53.0,2.6,15.7,56.0,CENTRO
2024-07-01 16:00:00,0.35,3.7,5.1,10.0,8.7,53.0,2.3,11.7,108.0,NORTE
2024-07-01 16:00:00,0.88,5.4,7.4,4.79,12.7,50.0,2.2,13.3,111.0,SURESTE
2024-07-01 17:00:00,0.51,5.7,9.4,,15.3,52.0,2.5,16.1,68.0,CENTRO
2024-07-01 17:00:00,0.37,4.3,7.1,10.0,11.3,39.0,2.1,11.8,132.0,NORTE
2024-07-01 17:00:00,0.84,4.4,7.0,6.01,11.3,44.0,2.2,13.4,117.0,SURESTE
2024-07-01 18:00:00,0.5,5.8,11.0,,17.1,54.0,2.5,14.7,58.0,CENTRO
2024-07-01 18:00:00,0.39,3.8,11.0,11.0,14.8,49.0,2.2,10.6,152.0,NORTE
2024-07-01 18:00:00,0.83,4.4,7.2,6.07,11.6,51.0,2.0,13.4,106.0,SURESTE
2024-07-01 19:00:00,0.51,3.9,9.8,,14.0,57.0,2.4,12.3,99.0,CENTRO
2024-07-01 19:00:00,0.58,5.0,14.1,10.0,19.0,50.0,2.2,7.9,178.0,NORTE
2024-07-01 19:00:00,0.81,4.2,7.8,10.51,11.9,36.0,1.8,11.1,124.0,SURESTE
2024-07-01 20:00:00,0.47,3.0,8.5,,11.7,52.0,2.4,10.3,118.0,CENTRO
2024-07-01 20:00:00,0.65,7.2,14.1,10.0,21.4,46.0,2.5,7.0,173.0,NORTE
2024-07-01 20:00:00,0.81,3.8,8.4,10.56,12.2,43.0,2.4,11.5,130.0,SURESTE
2024-07-01 21:00:00,0.49,2.3,7.4,,9.9,46.0,2.5,9.3,102.0,CENTRO
2024-07-01 21:00:00,0.32,2.4,8.7,7.0,11.1,48.0,2.4,6.7,149.0,NORTE
2024-07-01 21:00:00,0.75,3.4,5.5,8.9,8.7,46.0,2.1,11.3,127.0,SURESTE
2024-07-01 22:00:00,0.43,2.3,8.3,,10.8,39.0,2.5,7.8,72.0,CENTRO
2024-07-01 22:00:00,0.37,2.8,10.7,8.0,13.6,36.0,2.2,5.8,134.0,NORTE
2024-07-01 22:00:00,0.71,3.1,4.0,8.87,7.1,34.0,1.8,13.5,130.0,SURESTE
2024-07-01 23:00:00,0.44,1.9,4.6,,6.8,36.0,2.4,9.1,116.0,CENTRO
2024-07-01 23:00:00,0.35,10.5,13.8,11.0,24.4,32.0,2.3,4.8,84.0,NORTE
2024-07-01 23:00:00,0.79,3.4,9.2,11.21,12.6,23.0,1.8,6.7,337.0,SURESTE
2024-07-02 00:00:00,0.41,1.9,6.1,,8.3,36.0,2.4,5.6,43.0,CENTRO
2024-07-02 00:00:00,0.31,13.7,14.4,13.0,28.1,75.0,2.2,4.5,45.0,NORTE
2024-07-02 00:00:00,0.83,4.1,10.9,11.24,15.0,28.0,1.8,6.2,310.0,SURESTE
2024-07-02 01:00:00,0.42,2.0,6.9,6.37,9.2,41.0,2.3,8.0,66.0,CENTRO
2024-07-02 01:00:00,0.3,20.2,14.6,14.0,34.7,64.0,2.2,2.7,6.0,NORTE
2024-07-02 01:00:00,0.8,2.9,11.3,5.89,14.1,26.0,1.8,8.3,74.0,SURESTE
2024-07-02 02:00:00,0.48,4.1,11.9,6.6,16.3,36.0,2.3,6.8,34.0,CENTRO
2024-07-02 02:00:00,0.27,14.2,13.1,15.0,27.2,68.0,2.2,2.4,27.0,NORTE
2024-07-02 02:00:00,0.78,2.3,9.6,,11.8,27.0,1.7,4.6,82.0,SURESTE
2024-07-02 03:00:00,0.52,8.7,17.9,7.23,26.9,57.0,2.5,4.1,359.0,CENTRO
2024-07-02 03:00:00,0.23,7.3,11.5,16.0,18.9,71.0,2.1,2.3,35.0,NORTE
2024-07-02 03:00:00,0.82,4.3,11.2,,15.4,30.0,1.7,1.8,299.0,SURESTE
2024-07-02 04:00:00,0.55,8.1,15.4,12.31,23.8,50.0,2.5,1.7,250.0,CENTRO
2024-07-02 04:00:00,0.23,4.6,13.0,20.0,17.6,61.0,2.2,2.4,46.0,NORTE
2024-07-02 04:00:00,0.83,7.2,10.5,,17.6,38.0,1.7,1.9,261.0,SURESTE
2024-07-02 05:00:00,0.55,10.2,14.3,12.02,24.7,51.0,2.5,1.7,206.0,CENTRO
2024-07-02 05:00:00,0.22,5.9,12.2,21.0,18.2,73.0,2.2,3.2,28.0,NORTE
2024-07-02 05:00:00,0.88,10.7,15.7,,26.3,36.0,1.7,2.5,272.0,SURESTE
2024-07-02 06:00:00,0.56,11.8,11.8,10.74,23.8,50.0,2.4,1.7,29.0,CENTRO
2024-07-02 06:00:00,0.27,9.3,10.9,20.0,20.1,70.0,2.2,2.2,27.0,NORTE
2024-07-02 06:00:00,0.91,18.9,15.1,,34.0,57.0,1.8,1.8,338.0,SURESTE
2024-07-02 07:00:00,0.61,14.6,14.6,11.67,29.6,54.0,2.5,2.0,28.0,CENTRO
2024-07-02 07:00:00,0.36,7.1,7.8,18.0,14.9,75.0,2.2,5.1,80.0,NORTE
2024-07-02 07:00:00,1.03,24.0,15.9,,39.8,58.0,1.9,1.9,316.0,SURESTE
2024-07-02 08:00:00,0.67,15.6,16.9,13.79,32.8,64.0,2.6,4.8,339.0,CENTRO
2024-07-02 08:00:00,0.36,8.6,8.9,19.0,17.5,70.0,2.2,2.1,75.0,NORTE
2024-07-02 08:00:00,1.18,21.0,17.7,,38.6,68.0,1.9,3.4,12.0,SURESTE
2024-07-02 09:00:00,0.85,17.9,16.4,27.05,34.6,66.0,2.5,5.5,349.0,CENTRO
2024-07-02 09:00:00,0.34,7.0,9.1,20.0,16.1,64.0,2.4,4.1,72.0,NORTE
2024-07-02 09:00:00,0.98,17.2,16.2,,33.5,79.0,2.0,5.6,39.0,SURESTE
2024-07-02 10:00:00,0.82,16.3,17.5,21.61,34.0,80.0,2.5,6.6,15.0,CENTRO
2024-07-02 10:00:00,0.33,2.8,7.6,16.0,10.4,78.0,2.5,7.2,107.0,NORTE
2024-07-02 10:00:00,0.96,12.5,17.0,,29.5,76.0,2.0,4.1,56.0,SURESTE
2024-07-02 11:00:00,0.85,11.6,21.4,19.26,33.2,80.0,2.5,7.0,348.0,CENTRO
2024-07-02 11:00:00,0.29,2.7,5.2,12.0,7.9,63.0,2.2,10.5,137.0,NORTE
2024-07-02 11:00:00,0.92,7.8,15.8,,23.5,69.0,1.9,8.3,67.0,SURESTE
2024-07-02 12:00:00,0.67,5.9,17.6,26.32,23.8,82.0,2.4,9.1,56.0,CENTRO
2024-07-02 12:00:00,0.24,2.7,3.4,10.0,6.0,40.0,2.0,12.4,141.0,NORTE
2024-07-02 12:00:00,0.85,3.7,9.3,,12.9,61.0,1.9,11.2,90.0,SURESTE
2024-07-02 13:00:00,0.52,2.8,9.4,19.25,12.4,74.0,2.4,10.8,53.0,CENTRO
2024-07-02 13:00:00,0.24,2.8,3.6,10.0,6.4,47.0,2.0,12.7,142.0,NORTE
2024-07-02 13:00:00,0.78,3.9,5.2,,9.1,62.0,1.9,19.3,105.0,SURESTE
2024-07-02 14:00:00,0.42,2.9,4.8,17.41,8.0,58.0,2.4,12.6,122.0,CENTRO
2024-07-02 14:00:00,0.23,2.8,2.8,,5.7,42.0,2.0,13.2,147.0,NORTE
2024-07-02 14:00:00,0.75,4.1,4.4,,8.5,53.0,1.7,17.4,116.0,SURESTE
2024-07-02 15:00:00,0.42,3.0,4.1,20.03,7.4,45.0,2.4,12.7,107.0,CENTRO
2024-07-02 15:00:00,0.23,2.9,3.0,,5.9,33.0,2.0,14.4,142.0,NORTE
2024-07-02 15:00:00,0.72,4.1,4.4,,8.5,48.0,1.8,18.3,123.0,SURESTE
2024-07-02 16:00:00,0.41,3.0,4.6,19.32,7.8,45.0,2.4,13.5,107.0,CENTRO
2024-07-02 16:00:00,0.23,3.1,3.1,,6.2,41.0,2.2,15.5,142.0,NORTE
2024-07-02 16:00:00,0.72,4.0,4.5,,,46.0,1.8,17.5,126.0,SURESTE
2024-07-02 17:00:00,0.41,3.2,4.5,17.19,8.0,44.0,2.4,15.2,101.0,CENTRO
2024-07-02 17:00:00,0.2,2.6,3.4,,6.1,40.0,2.2,15.2,149.0,NORTE
2024-07-02 17:00:00,0.71,3.9,4.4,,8.3,44.0,1.8,17.3,125.0,SURESTE
2024-07-02 18:00:00,0.4,3.2,4.7,19.64,8.2,44.0,2.3,17.4,103.0,CENTRO
2024-07-02 18:00:00,0.28,2.5,5.6,,8.1,40.0,2.1,13.6,148.0,NORTE
2024-07-02 18:00:00,0.71,3.9,4.6,,8.5,37.0,1.7,16.7,130.0,SURESTE
2024-07-02 19:00:00,0.4,2.9,5.9,17.84,9.1,43.0,2.3,15.9,103.0,CENTRO
2024-07-02 19:00:00,0.33,3.0,10.3,14.0,13.4,39.0,2.2,13.8,128.0,NORTE
2024-07-02 19:00:00,0.69,3.5,4.9,,8.5,45.0,1.7,15.9,138.0,SURESTE
2024-07-02 20:00:00,0.43,2.2,7.1,20.81,9.6,42.0,2.4,13.4,117.0,CENTRO
2024-07-02 20:00:00,0.27,2.4,6.1,13.0,8.5,53.0,2.0,17.3,131.0,NORTE
2024-07-02 20:00:00,0.73,3.4,6.7,,10.1,34.0,1.7,12.8,130.0,SURESTE
2024-07-02 21:00:00,0.42,2.2,7.5,12.79,9.9,49.0,2.5,11.2,119.0,CENTRO
2024-07-02 21:00:00,0.25,2.2,4.0,14.0,6.3,45.0,2.1,17.9,129.0,NORTE
2024-07-02 21:00:00,0.84,3.8,9.9,,13.6,42.0,1.7,14.4,99.0,SURESTE
2024-07-02 22:00:00,0.43,2.6,7.5,,10.4,57.0,2.3,12.4,69.0,CENTRO
2024-07-02 22:00:00,0.24,2.1,4.8,13.0,7.0,72.0,2.0,13.8,125.0,NORTE
2024-07-02 22:00:00,0.7,3.1,4.1,,7.3,53.0,1.7,18.5,119.0,SURESTE
2024-07-02 23:00:00,0.41,2.2,5.6,11.55,8.0,68.0,2.4,11.2,82.0,CENTRO
2024-07-02 23:00:00,0.25,2.0,5.1,14.0,7.1,58.0,2.0,11.4,127.0,NORTE
2024-07-02 23:00:00,0.69,2.7,3.8,,6.5,54.0,1.7,18.0,114.0,SURESTE
2024-07-03 00:00:00,0.4,2.2,5.2,12.14,7.7,71.0,2.3,10.3,70.0,CENTRO
2024-07-03 00:00:00,0.21,1.8,4.2,13.0,6.1,73.0,2.0,10.1,125.0,NORTE
2024-07-03 00:00:00,0.67,2.4,3.1,,5.5,56.0,1.7,19.3,101.0,SURESTE
2024-07-03 01:00:00,0.38,1.9,4.4,13.15,6.5,73.0,2.3,9.8,68.0,CENTRO
2024-07-03 01:00:00,0.21,1.7,3.9,12.0,5.6,51.0,2.0,9.3,125.0,NORTE
2024-07-03 01:00:00,0.66,2.1,3.0,7.74,5.1,47.0,1.7,18.2,93.0,SURESTE
2024-07-03 02:00:00,0.38,1.8,4.5,14.39,6.5,71.0,2.4,9.2,37.0,CENTRO
2024-07-03 02:00:00,0.2,1.7,3.5,12.0,5.2,49.0,1.9,8.4,117.0,NORTE
2024-07-03 02:00:00,0.63,2.1,2.5,7.71,4.5,51.0,,15.6,103.0,SURESTE
2024-07-03 03:00:00,0.36,1.8,3.9,18.64,5.9,63.0,2.4,7.5,44.0,CENTRO
2024-07-03 03:00:00,0.19,1.8,4.6,11.0,6.4,44.0,1.9,7.6,111.0,NORTE
