CO,O3,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona,Hora
3.22,19.0,3.2,6.5,60.91,9.8,86.34,2.9,3.7,2.0,CENTRO,0
3.22,19.0,3.2,6.5,85.64,9.8,112.01,2.9,3.7,2.0,CENTRO,1
3.22,18.0,3.2,5.6,72.39,8.8,100.01,2.9,1.9,144.0,CENTRO,2
3.22,14.0,3.2,7.2,70.25,10.4,106.2,2.9,2.7,28.0,CENTRO,3
3.26,5.0,4.7,10.6,93.72,15.3,141.86,3.3,2.0,31.0,CENTRO,4
3.26,3.0,5.0,10.1,83.93,15.1,122.24,3.2,1.7,10.0,CENTRO,5
3.25,4.0,4.2,9.5,77.28,13.7,113.71,2.9,1.7,250.0,CENTRO,6
3.28,5.0,4.0,8.6,67.04,12.5,107.02,2.7,1.6,262.0,CENTRO,7
3.36,4.0,6.0,8.5,64.77,14.5,102.32,2.7,2.1,330.0,CENTRO,8
3.4,6.0,6.1,7.9,62.11,14.0,98.27,2.6,1.6,247.0,CENTRO,9
3.26,8.0,5.5,6.2,51.71,11.6,79.95,2.7,3.3,238.0,CENTRO,10
3.22,9.0,5.7,5.5,41.35,11.2,61.68,2.7,3.2,233.0,CENTRO,11
3.24,10.0,5.6,5.6,34.82,11.2,59.14,2.6,2.3,234.0,CENTRO,12
3.19,12.0,5.7,6.1,26.95,11.8,51.42,2.7,2.5,252.0,CENTRO,13
3.1,21.0,4.4,5.7,16.66,10.1,31.58,2.7,3.1,255.0,CENTRO,14
2.96,26.0,3.5,4.5,7.49,7.9,25.22,2.6,4.1,240.0,CENTRO,15
3.01,22.0,3.7,5.7,7.82,9.3,23.66,2.5,3.2,232.0,CENTRO,16
2.92,30.0,3.1,3.8,4.86,7.0,14.24,2.5,4.5,238.0,CENTRO,17
2.93,30.0,3.1,3.9,4.62,7.1,12.15,2.4,3.2,259.0,CENTRO,18
3.12,17.0,3.3,8.6,14.52,11.9,26.13,2.4,1.5,231.0,CENTRO,19
3.0,23.0,3.1,6.0,8.46,9.1,18.81,2.5,2.2,238.0,CENTRO,20
2.93,27.0,3.1,4.6,4.86,7.7,23.64,2.4,1.1,204.0,CENTRO,21
2.94,25.0,3.1,5.4,4.52,8.6,17.48,2.3,1.2,164.0,CENTRO,22
3.02,18.0,3.1,7.0,6.04,10.2,27.1,2.3,1.1,235.0,CENTRO,23
2.94,22.0,3.2,5.5,4.68,8.7,17.8,2.3,1.4,263.0,CENTRO,0
2.91,27.0,3.2,4.8,5.37,8.1,21.57,2.3,3.1,239.0,CENTRO,1
2.88,25.0,3.0,4.5,6.98,7.6,30.53,2.4,3.2,239.0,CENTRO,2
2.85,24.0,3.0,4.7,5.7,7.8,31.43,2.5,3.9,258.0,CENTRO,3
2.86,23.0,3.0,4.8,6.96,7.9,25.71,2.4,2.4,235.0,CENTRO,4
2.81,32.0,3.1,2.7,4.37,5.7,27.33,2.4,4.0,246.0,CENTRO,5
2.87,23.0,3.1,5.2,9.28,8.3,31.54,2.6,3.4,227.0,CENTRO,6
2.96,15.0,4.1,7.8,10.15,12.0,32.44,2.6,1.9,263.0,CENTRO,7
3.25,10.0,9.7,10.1,9.87,19.8,29.979999999999997,2.6500000000000004,3.3,244.0,CENTRO,8
3.48,8.0,17.8,11.3,9.59,29.1,27.52,2.7,2.7,194.0,CENTRO,9
3.38,10.0,11.9,10.7,9.76,22.6,30.65,3.0,5.2,186.0,CENTRO,10
3.19,20.0,9.1,7.8,7.8,16.9,38.82,3.2,5.8,183.0,CENTRO,11
3.1,28.0,6.3,5.9,5.98,12.2,36.36,2.6,9.8,134.0,CENTRO,12
3.09,30.0,5.6,5.8,4.93,11.3,23.08,2.4,6.5,106.0,CENTRO,13
3.11,34.0,5.8,7.8,5.95,13.5,31.28,2.3,4.8,8.0,CENTRO,14
3.23,33.0,6.9,9.9,10.05,16.9,42.78,3.9,6.5,76.0,CENTRO,15
3.21,27.0,6.3,11.2,11.49,17.4,46.21,5.5,7.4,63.0,CENTRO,16
3.28,26.0,5.8,10.2,9.46,16.0,44.68,2.9,3.4,157.0,CENTRO,17
3.51,13.0,7.0,14.3,11.01,21.3,47.64,3.4,1.5,244.0,CENTRO,18
4.16,5.0,24.5,16.9,15.51,41.3,69.75,3.4,1.8,240.0,CENTRO,19
3.89,5.0,17.5,15.5,12.68,33.0,60.56,3.0,1.7,229.0,CENTRO,20
