date,CO,O3,NO,NO2,PM2.5,NOX,PM10,SO2,WSR,WDR,Zona,Hora
2024-01-01 00:00:00,2.53,14.0,5.7,35.3,144.0,41.0,119.0,3.8,0.9,232.0,CENTRO,0
2024-01-01 01:00:00,2.53,14.0,5.7,35.3,120.0,41.0,119.0,3.8,0.9,232.0,CENTRO,1
2024-01-01 02:00:00,2.16,19.0,4.0,24.9,96.0,28.9,118.0,4.0,1.6,284.0,CENTRO,2
2024-01-01 03:00:00,1.92,20.0,3.5,21.0,71.0,24.5,97.0,3.9,4.1,212.0,CENTRO,3
2024-01-01 04:00:00,1.74,25.0,3.5,17.5,41.0,21.0,77.0,3.9,6.6,221.0,CENTRO,4
2024-01-01 05:00:00,1.63,25.0,3.4,15.6,24.0,19.0,58.0,3.8,2.8,240.0,CENTRO,5
2024-01-01 06:00:00,1.55,29.0,3.3,11.6,18.0,14.9,45.0,3.3,5.8,218.0,CENTRO,6
2024-01-01 07:00:00,1.48,31.0,3.3,10.6,13.0,13.9,38.0,3.2,4.0,219.0,CENTRO,7
2024-01-01 08:00:00,1.55,20.0,4.1,16.9,14.0,21.0,32.0,3.1,1.2,236.0,CENTRO,8
2024-01-01 09:00:00,1.66,15.0,8.1,19.2,15.0,27.3,36.0,3.3,0.8,215.0,CENTRO,9
2024-01-01 10:00:00,1.81,19.0,12.8,21.7,20.0,34.5,40.0,4.5,0.6,179.0,CENTRO,10
2024-01-01 11:00:00,1.8,36.0,7.7,19.7,25.0,27.3,51.0,7.5,7.7,104.0,CENTRO,11
2024-01-01 12:00:00,1.73,45.0,6.3,17.1,25.0,23.5,51.0,7.4,7.3,97.0,CENTRO,12
2024-01-01 13:00:00,1.72,50.0,5.6,11.8,16.0,17.4,53.0,6.8,8.4,43.0,CENTRO,13
2024-01-01 14:00:00,1.61,52.0,4.1,8.8,13.0,12.9,47.0,5.3,5.3,32.0,CENTRO,14
2024-01-01 15:00:00,1.57,49.0,4.3,8.7,11.0,13.1,44.0,5.4,7.9,55.0,CENTRO,15
2024-01-01 16:00:00,1.56,49.0,3.9,9.1,12.0,13.0,39.0,5.6,8.1,61.0,CENTRO,16
2024-01-01 17:00:00,1.61,44.0,3.1,7.7,11.0,10.9,37.0,4.3,8.0,17.0,CENTRO,17
2024-01-01 18:00:00,1.67,36.0,3.1,13.4,14.0,16.5,35.0,4.1,8.9,23.0,CENTRO,18
