date_only,Hora,Zona,CO,NOX,O3,PM2.5,PM10,WSR,WDR,date,hour,influence_plume_sum,influence_plume_log1p_sum,Q_hat_mean,u_mean,wind_cov,influence_plume_z
2024-08-01,0,CENTRO,0.4841826,8.767834,16.384539,32.805374,88.79609,9.015996,85.00341,2024-08-01,0,1799.9044981363843,1369.525861330241,7.439061342651951,9.015996,1.0,-0.4469604737050558
2024-08-01,0,NORTE,0.9056643,8.050037,13.299111,22.510893,78.0,9.597399,171.84186,2024-08-01,0,2960.1125311647816,2179.3258496966487,9.054447507749286,9.597399,1.0,-0.39315239995551654
2024-08-01,0,SURESTE,0.623575,7.507266,18.192194,22.631094,91.57979,15.822094,110.56041,2024-08-01,0,1497.1239741618963,1214.4964182630279,8.668408536968789,15.822094,1.0,-0.6501354757488619
2024-08-01,1,CENTRO,0.58000004,15.6,13.0,39.149998,94.0,8.0,47.999996,2024-08-01,1,2166.854643918599,1598.484372061786,7.649176799482718,8.0,1.0,-0.2539216973144279
2024-08-01,1,NORTE,0.9464729,7.5113125,14.000001,20.661089,69.0,7.2000003,150.0,2024-08-01,1,3984.6393149685837,2744.4134442168206,9.117754366595472,7.2000003,1.0,-0.12478490151074284
2024-08-01,1,SURESTE,0.6599999,5.8999996,16.000002,24.41983,95.0,13.4,114.0,2024-08-01,1,1736.4843423749699,1364.9341090310218,8.70814868765292,13.4,1.0,-0.5378553098013991
2024-08-01,2,CENTRO,0.57000005,25.5,6.000002,37.01,92.0,7.6,16.0,2024-08-01,2,2627.73708792732,1891.743746838207,7.773657315296173,7.599999999999999,1.0,-0.011468644566035363
2024-08-01,2,NORTE,0.9616144,9.109507,13.0,21.59718,76.0,2.2000003,118.0,2024-08-01,2,13058.1559581474,6011.486697557168,9.253163510016508,2.2000003,1.0,2.2519581979583205
2024-08-01,2,SURESTE,0.65,4.8999996,15.000001,24.416147,93.0,11.7,110.0,2024-08-01,2,2082.2238714272185,1597.540856311958,8.890587631543388,11.700000000000001,1.0,-0.3756743606894407
2024-08-01,3,CENTRO,0.6,9.3,12.000002,36.16,104.0,5.3,47.0,2024-08-01,3,3447.646593153004,2257.8875377119775,7.899069020172463,5.3,1.0,0.4198551454883968
2024-08-01,3,NORTE,0.9294389,9.257141,12.000001,21.888977,80.0,4.5,181.0,2024-08-01,3,6497.689751908193,3885.192121149472,9.25036244104658,4.5,1.0,0.5334907725746901
2024-08-01,3,SURESTE,0.6399999,4.3999996,14.000001,24.584211,92.0,9.599999,109.0,2024-08-01,3,2558.12868913538,1883.4281152758115,8.89964116571148,9.599999,1.0,-0.152434931763166
2024-08-01,4,CENTRO,0.53999996,7.800001,12.000002,35.699997,102.0,3.1,23.0,2024-08-01,4,6376.178355114709,3486.237326500127,7.907990726410185,3.1,1.0,1.960446406857443
2024-08-01,4,NORTE,0.9263735,10.196771,11.0,22.24848,83.0,4.9,209.0,2024-08-01,4,5959.453214493106,3623.1786895450377,9.298429077161057,4.9,1.0,0.39250354276174554
2024-08-01,4,SURESTE,0.6399999,4.500002,14.000001,25.143425,87.0,7.9999995,109.0,2024-08-01,4,3056.4598778383884,2157.2753511084193,8.883322732443652,7.9999995,1.0,0.08132435337697998
2024-08-01,5,CENTRO,0.59000003,7.3,12.000002,34.66,90.0,5.2,53.999996,2024-08-01,5,3286.6341891176967,2172.061469907089,7.59929764905644,5.2,1.0,0.33515252902687864
2024-08-01,5,NORTE,0.92215896,11.232225,10.0,22.594027,77.0,3.1,207.0,2024-08-01,5,9208.6189623388,4807.623743642973,9.138429349602982,3.1,1.0,1.2435993828767213
2024-08-01,5,SURESTE,0.6399999,4.8999996,13.000001,26.205114,84.0,8.599999,105.0,2024-08-01,5,2903.7904564397445,2091.085609851222,8.801192749705544,8.599999,1.0,0.009709540541783988
2024-08-01,6,CENTRO,0.5500001,8.6,11.0,36.579998,93.0,5.7,65.0,2024-08-01,6,2817.6355280893495,1938.26982057228,7.330294925560165,5.7,1.0,0.08842983741773665
2024-08-01,6,NORTE,0.95594853,14.754266,7.0,23.761738,77.0,4.8,204.0,2024-08-01,6,5927.285292164353,3614.305113707499,9.019999642359222,4.8,1.0,0.3840773844787168
2024-08-01,6,SURESTE,0.68999994,11.800001,6.000002,34.5,89.0,8.5,62.0,2024-08-01,6,3414.956938909631,2469.111981057329,8.662453307015339,8.5,1.0,0.24948965914274165
2024-08-01,7,CENTRO,0.6300001,17.900002,6.000002,41.53,81.0,6.7,69.0,2024-08-01,7,2364.75017700305,1701.4454116447312,7.243006593334226,6.7,1.0,-0.14981624321149886
2024-08-01,7,NORTE,1.01926,17.419632,6.0,24.41497,100.0,5.2,211.0,2024-08-01,7,5366.263090203474,3350.416391856871,8.940654859530905,5.2,1.0,0.23712161202616164
2024-08-01,7,SURESTE,0.77,18.5,4.0,33.53,94.0,9.5,60.0,2024-08-01,7,3008.394533659237,2237.013537758191,8.58620333382215,9.5,1.0,0.0587776600331891
2024-08-01,8,CENTRO,0.71000004,22.5,6.000002,45.699997,102.0,7.1,68.0,2024-08-01,8,2232.6921096694887,1630.2088818315926,7.20462329113832,7.099999999999999,1.0,-0.2192870637673559
2024-08-01,8,NORTE,1.0778929,18.631695,8.0,24.451435,95.0,4.9,239.0,2024-08-01,8,5239.6913234365475,3162.599868079334,8.890537371264964,4.9,1.0,0.20396703865828728
2024-08-01,8,SURESTE,0.79999995,18.4,7.000002,33.91,100.0,8.7,71.0,2024-08-01,8,3252.8559616757175,2367.284908630987,8.585830720956247,8.7,1.0,0.17345065251877212
2024-08-01,9,CENTRO,0.83000004,45.5,6.000002,46.36,93.0,5.3999996,56.999996,2024-08-01,9,2949.1182622009806,2020.006620073877,7.262997714992626,5.3999996,1.0,0.1575979966381103
2024-08-01,9,NORTE,1.1477597,18.178543,8.0,24.41697,84.0,6.0,251.00002,2024-08-01,9,4280.507051741191,2752.015651046819,8.920890980825414,6.0,1.0,-0.04728445384710524
2024-08-01,9,SURESTE,0.85999995,20.5,12.000001,36.129997,98.0,8.7,73.0,2024-08-01,9,3232.109235648619,2355.861493798763,8.573157362168297,8.7,1.0,0.16371869121465363
2024-08-01,10,CENTRO,0.89,35.7,10.000002,49.79,108.0,6.6,35.0,2024-08-01,10,2547.9064675163204,1824.262065659209,7.295894852290754,6.599999999999999,1.0,-0.053464554527575814
2024-08-01,10,NORTE,1.1167902,15.57594,13.0,24.511213,94.0,4.8,242.0,2024-08-01,10,5400.785007864497,3227.3268315619734,8.969572389724217,4.8,1.0,0.24616438263076035
2024-08-01,10,SURESTE,0.84,18.4,17.000002,30.719997,100.0,7.7,71.0,2024-08-01,10,3676.380381526648,2598.4753088604702,8.5713496900515,7.7,1.0,0.37211926461471584
2024-08-01,11,CENTRO,0.90000004,32.600002,19.0,52.36,119.0,7.2999997,26.0,2024-08-01,11,2389.0535172041864,1751.9041524191675,7.352597460405923,7.2999997,1.0,-0.13703116298041768
2024-08-01,11,NORTE,1.075077,14.205475,25.0,23.947065,97.0,2.6000004,263.0,2024-08-01,11,9827.120045956877,4695.240102253791,8.92796597754118,2.6000004,1.0,1.4056113392452059
2024-08-01,11,SURESTE,0.87999994,17.2,26.0,30.59,103.0,6.799999,94.0,2024-08-01,11,3769.3003961466407,2579.2625119809545,8.582548231113968,6.799999,1.0,0.41570657499220554
2024-08-01,12,CENTRO,0.89,26.400002,35.0,51.71,129.0,9.0,18.0,2024-08-01,12,2004.8636497190237,1536.32143937363,7.3303927278650445,9.0,1.0,-0.33913911353844656
2024-08-01,12,NORTE,1.0216364,12.422851,45.0,24.458021,87.0,4.8,136.0,2024-08-01,12,5897.388772751277,3655.560302076712,8.931088747660668,4.8,1.0,0.3762462040216237
2024-08-01,12,SURESTE,0.80999994,16.6,36.0,25.32,110.0,10.099999,63.0,2024-08-01,12,2843.8561165377273,2141.3810698613115,8.554605733871275,10.099999,1.0,-0.018404711121464325
2024-08-01,13,CENTRO,0.75,18.5,58.0,46.1,118.0,11.1,43.0,2024-08-01,13,1503.7017271044124,1200.7194397407325,7.349634364885593,11.1,1.0,-0.6027816966715697
2024-08-01,13,NORTE,0.9532762,10.428516,64.0,23.858929,99.0,3.7000003,110.0,2024-08-01,13,7302.341915456537,4133.184186014095,8.880346585971525,3.7000003,1.0,0.7442636793091589
2024-08-01,13,SURESTE,0.74999994,9.800001,41.0,25.3,109.0,15.0,88.0,2024-08-01,13,1752.278510465521,1419.0750225839145,8.53206259959769,15.0,1.0,-0.5304465151565371
2024-08-01,14,CENTRO,0.6700001,13.500001,51.0,40.89,105.0,12.3,43.0,2024-08-01,14,1349.1996258386625,1098.567563108061,7.378019972824526,12.300000000000002,1.0,-0.6840594858234027
2024-08-01,14,NORTE,0.9327434,9.092056,66.0,22.698547,94.0,3.7000003,106.0,2024-08-01,14,7277.788619534634,4120.903099533544,8.85557519137047,3.7000003,1.0,0.7378321182125607
