parameter,date,SE,SE_b,NE,NE_b,CE,CE_b,NO,NO_b,SO,SO_b,NO2,NO2_b,Norte,NTE_b,NE2,NE2_b,SE2,SE2_b,SO2,SO2_b,SE3,SE3_b,SUR,SUR_b,Norte2,NTE2_b,NE3,NE3_b
PM10 ,2020-01-01 00:00:00.000,66.0,x,110.0,x,86.34,x,88.0,x,63.0,x,92.0,x,52.0,x,94.0,x,,l,,x,37.0,l,,l,69.0,l,,x
PM10 ,2020-01-01 01:00:00.000,57.0, ,75.0, ,112.01, ,77.0, ,,x,54.0, ,53.0, ,19.0, ,,l,42.0, ,37.0, ,20.0, ,49.0, ,, 
PM10 ,2020-01-01 02:00:00.000,68.0, ,76.0, ,100.01, ,107.0, ,58.0, ,84.0, ,59.0, ,17.0, ,41.0, ,43.0, ,55.0, ,24.0, ,53.0, ,, 
PM10 ,2020-01-01 03:00:00.000,68.0, ,46.0, ,106.2, ,84.0, ,57.0, ,,o,60.0, ,25.0, ,30.0, ,47.0, ,35.0, ,39.0, ,51.0, ,, 
PM10 ,2020-01-01 04:00:00.000,48.0, ,63.0, ,141.86, ,70.0, ,46.0, ,52.0, ,59.0, ,14.0, ,25.0, ,50.0, ,27.0, ,23.0, ,50.0, ,, 
PM10 ,2020-01-01 05:00:00.000,42.0, ,49.0, ,122.24, ,67.0, ,46.0, ,50.0, ,48.0, ,10.0, ,23.0, ,53.0, ,25.0, ,16.0, ,46.0, ,, 
PM10 ,2020-01-01 06:00:00.000,38.0, ,33.0, ,113.71, ,65.0, ,55.0, ,59.0, ,60.0, ,9.0, ,18.0, ,54.0, ,21.0, ,18.0, ,46.0, ,, 
PM10 ,2020-01-01 07:00:00.000,33.0, ,20.0, ,107.02, ,57.0, ,52.0, ,63.0, ,76.0, ,14.0, ,13.0, ,55.0, ,19.0, ,18.0, ,56.0, ,, 
PM10 ,2020-01-01 08:00:00.000,36.0, ,13.0, ,102.32, ,55.0, ,56.0, ,,o,72.0, ,11.0, ,13.0, ,50.0, ,19.0, ,15.0, ,65.0, ,, 
PM10 ,2020-01-01 09:00:00.000,21.0, ,15.0, ,98.27, ,55.0, ,53.0, ,58.0, ,66.0, ,12.0, ,9.0, ,57.0, ,19.0, ,18.0, ,58.0, ,, 
PM10 ,2020-01-01 10:00:00.000,35.0, ,33.0, ,79.95, ,48.0, ,53.0, ,51.0, ,73.0, ,18.0, ,8.0, ,52.0, ,18.0, ,19.0, ,67.0, ,, 
PM10 ,2020-01-01 11:00:00.000,37.0, ,53.0, ,61.68, ,51.0, ,60.0, ,46.0, ,86.0, ,31.0, ,29.0, ,50.0, ,20.0, ,18.0, ,64.0, ,, 
PM10 ,2020-01-01 12:00:00.000,31.0, ,53.0, ,59.14, ,61.0, ,56.0, ,36.0, ,,o,54.0, ,25.0, ,52.0, ,36.0, ,19.0, ,54.0, ,, 
PM10 ,2020-01-01 13:00:00.000,28.0, ,63.0, ,51.42, ,63.0, ,45.0, ,46.0, ,102.0, ,52.0, ,65.0, ,35.0, ,45.0, ,18.0, ,62.0, ,, 
PM10 ,2020-01-01 14:00:00.000,26.0, ,62.0, ,31.58, ,42.0, ,40.0, ,24.0, ,14.0, ,64.0, ,66.0, ,29.0, ,56.0, ,18.0, ,52.0, ,, 
PM10 ,2020-01-01 15:00:00.000,21.0, ,55.0, ,25.22, ,24.0, ,27.0, ,11.0, ,8.0, ,36.0, ,46.0, ,23.0, ,63.0, ,16.0, ,15.0, ,, 
PM10 ,2020-01-01 16:00:00.000,15.0, ,52.0, ,23.66, ,19.0, ,22.0, ,8.0, ,9.0, ,23.0, ,29.0, ,9.0, ,57.0, ,12.0, ,13.0, ,, 
PM10 ,2020-01-01 17:00:00.000,10.0, ,35.0, ,14.24, ,16.0, ,16.0, ,7.0, ,8.0, ,14.0, ,13.0, ,10.0, ,50.0, ,13.0, ,16.0, ,, 
